date,local_time,latitude,longitude,location,magnitude_ml,epicentre
2015-04-25,18:24:00,27.82,86.05,POINT(86.05 27.82),4.5,Dolakha
2015-04-25,18:02:00,28,85.4,POINT(85.4 28),4.9,Nuwakot
2015-04-25,17:26:00,28.14,85.28,POINT(85.28 28.14),4.1,Rasuwa
2015-04-25,16:50:00,28.14,85.28,POINT(85.28 28.14),4.6,Sindhupalchowk
2015-04-25,16:25:00,27.86,85.85,POINT(85.85 27.86),4,Sindhupalchowk
2015-05-25,03:23:00,28.01,84.68,POINT(84.68 28.01),5,Gorkha
2015-04-25,16:08:00,27.87,85.8,POINT(85.8 27.87),4.1,Sindhupalchowk
2015-04-25,15:28:00,28.29,85.16,POINT(85.16 28.29),4.6,Rasuwa
2015-04-25,15:15:00,28,85.6,POINT(85.6 28),5.5,Sindhupalchowk
2015-04-25,14:48:00,27.91,85.33,POINT(85.33 27.91),5.3,Rasuwa
2015-04-25,14:40:00,27.65,85.63,POINT(85.63 27.65),5.7,Kabre
2015-04-25,14:14:00,28.18,84.95,POINT(84.95 28.18),5.2,Gorkha
2015-04-25,14:05:00,27.9,84.86,POINT(84.86 27.9),5.1,Dhading
2015-04-25,14:02:00,27.78,85.84,POINT(85.84 27.78),5.2,Sindhupalchowk
2015-04-25,13:32:00,27.99,85.71,POINT(85.71 27.99),5.1,Tibet
2015-04-25,12:53:00,28.2,85.75,POINT(85.75 28.2),5.3,Rasuwa
2015-05-24,23:15:00,27.76,86.26,POINT(86.26 27.76),4.3,Dolakha
2015-04-25,12:41:00,28.13,85.65,POINT(85.65 28.13),5.7,Rasuwa
2015-04-25,12:30:00,28.28,84.72,POINT(84.72 28.28),6.6,Gorkha
2015-04-25,12:23:00,28.41,85.8,POINT(85.8 28.41),5.5,Sindhupalchowk/Tibet
2015-04-25,11:56:00,28.24,84.75,POINT(84.75 28.24),7.6,Gorkha
2015-05-30,20:35:00,28.01,85.19,POINT(85.19 28.01),4,Rasuwa/Nuwakot
2015-05-24,12:55:00,27.8,86.29,POINT(86.29 27.8),4.4,Dolakha
2015-05-24,11:46:00,27.84,86,POINT(86 27.84),4.2,Sindhupalchowk
2015-05-24,10:38:00,27.76,86.28,POINT(86.28 27.76),4.4,Dolakha
2015-05-24,07:06:00,27.67,86.18,POINT(86.18 27.67),4.2,Dolakha
2015-05-23,22:26:00,27.9,85.51,POINT(85.51 27.9),4.4,Sindhupalchok
2015-05-23,13:14:00,27.74,86.2,POINT(86.2 27.74),4.2,Dolakha
2015-05-22,20:44:00,27.69,86.16,POINT(86.16 27.69),4.1,Dolakha
2015-05-22,19:07:00,30.31,81.47,POINT(81.47 30.31),4.8,Humla
2015-05-22,18:49:00,27.78,85.93,POINT(85.93 27.78),4,Sindhupalchowk
2015-05-22,17:30:00,27.63,86.25,POINT(86.25 27.63),4.1,Dolakha
2015-05-30,01:52:00,27.75,85.21,POINT(85.21 27.75),4,Dhading /Nuwakot/Kathmandu
2015-05-22,16:44:00,28.05,85.08,POINT(85.08 28.05),4.8,Dhading/Nuwakot
2015-05-22,14:45:00,27.79,85.14,POINT(85.14 27.79),4.2,Dhading /Nuwakot
2015-05-21,19:30:00,28.02,84.98,POINT(84.98 28.02),4,Dhading
